nyu40id,nyu40class,mappedId,mappedIdConsecutive,weight
1,wall,(ignore),26,0.0
2,floor,(ignore),26,0.0
3,cabinet,3,1,3.9423707452223113
4,bed,4,2,4.79903056733669
5,chair,5,3,3.021372337403322
6,sofa,6,4,4.361515033108536
7,table,7,5,4.082071188873549
8,door,8,6,3.6860370659823665
9,window,9,7,5.405210266172908
10,bookshelf,10,8,7.307655850670747
11,picture,40,25,2.1795779839991347
12,counter,12,9,3.7500911077527426
13,blinds,38,23,6.282902623140761
14,desk,14,10,4.741959945955426
15,shelves,15,11,4.482853949823301
16,curtain,16,12,9.82212130270029
17,dresser,17,13,5.237562070616325
18,pillow,40,25,2.1795779839991347
19,mirror,19,14,6.094021135433074
20,floor_mat,(ignore),26,0.0
21,clothes,40,25,2.1795779839991347
22,ceiling,(ignore),26,0.0
23,books,40,25,2.1795779839991347
24,refridgerator,39,24,5.547679878706347
25,television,25,15,4.560882944393676
26,paper,(ignore),26,0.0
27,towel,27,16,1.0
28,shower_curtain,40,25,2.1795779839991347
29,box,40,25,2.1795779839991347
30,whiteboard,40,25,2.1795779839991347
31,person,40,25,2.1795779839991347
32,night_stand,32,17,4.663985966752118
33,toilet,33,18,4.648007539611561
34,sink,34,19,4.7407169377158285
35,lamp,35,20,4.002750792230828
36,bathtub,36,21,5.403280694903694
37,bag,37,22,1.0
38,otherstructure,38,23,6.282902623140761
39,otherfurniture,39,24,5.547679878706347
40,otherprop,40,25,2.1795779839991347
